CSD refcode,CIF filename
GINYAG,ginyag_P1_H
GINYIO,ginyio_P1_H
GIPFAP,gipfap_P1
GIRXUC,girxuc_P1
GIRYAJ,giryaj_P1
GITPIK,gitpik_P1_H
GIWSOX,giwsox_P1_H
GODDIP,goddip_P1_charged
GOMQUX,gomqux_P1_H
GOSDEZ,gosdez_P1
GOSDID,gosdid_P1_H
GOVHIL,govhil_P1
GOVJIN,govjin_P1
GUKQUZ,gukquz_P1_H
GULVUF,gulvuf_P1
GULWOA,gulwoa_P1
GURTIX,gurtix_P1_H
GUTCEF,gutcef_P1_charged
GUTCIJ,gutcij_P1_charged
GUXJUF,guxjuf_P1
HABQUY,habquy_P1
HAKVUN,hakvun_P1_charged
HAKWAU,hakwau_P1_H
HAMLIT,hamlit_P1_charged
HANKUE,hankue_P1_charged
HANWAW,hanwaw_P1
HAPPAS,happas_P1
HAPVAX,hapvax_P1_H
HAPVEB,hapveb_P1_H
HASTAY,hastay_P1_H
HAZSIL,hazsil_P1_H
HEDBID,hedbid_P1_H
HEFDED,hefded_P1_H
HEHKUD,hehkud_P1_charged
HEHLAK,hehlak_P1_charged
HEHVAU,hehvau_P1
HEHZAY,hehzay_P1_charged
HEMTEZ,hemtez_P1_charged_H
HERHAQ,herhaq_P1
HERHEU,herheu_P1
HERHOE,herhoe_P1
HERHUK02,herhuk02_P1
HERJAS,herjas_P1
HERJOG,herjog_P1
HETCOB,hetcob_P1_charged_H
HEXVEM,hexvem_P1
HICCUU,hiccuu_P1
HICNIT,hicnit_P1
HICNOZ,hicnoz_P1
HIDBIH,hidbih_P1_H
HIFZAY,hifzay_P1_charged_H
HIWXER,hiwxer_P1_H
HIYGIH,hiygih_P1
HOGLEV01,hoglev01_P1
HOQBOF,hoqbof_P1_H
HOWPOZ,howpoz_P1_H
HOWQOA,howqoa_P1_H
HOZBUV,hozbuv_P1
HOZFIN,hozfin_P1_charged_H
HUJGEA,hujgea_P1_H
HURQUG,hurqug_P1_H
IBABOF,ibabof_P1
IBABOF01,ibabof01_P1
IBABUL,ibabul_P1
IBACAS,ibacas_P1
IBITUK,ibituk_P1_charged_H
ICEPEM,icepem_P1_H
ICIVAS,icivas_P1_H
IDAGUR,idagur_P1_H
IFANOV,ifanov_P1
IFANUB,ifanub_P1
IFAPAJ,ifapaj_P1
IFOSIG,ifosig_P1_H
IGAHAB,igahab_P1
IGAHED,igahed_P1_H
IGAHED02,igahed02_P1_H
IGIFOW,igifow_P1
IGUFOH,igufoh_P1_charged
IHAZOH,ihazoh_P1_charged_H
IJANAJ,ijanaj_P1_H
IJEVEA,ijevea_P1_H
IJEVIE,ijevie_P1_charged_H
IJEXUS,ijexus_P1_charged_H
IJEYIG,ijeyig_P1_H
IKEZED,ikezed_P1_charged_H
ILUGOM,ilugom_P1_H
ILUHON,iluhon_P1_H
ILUJAB,ilujab_P1_H
ILUJIJ,ilujij_P1_H
IMUVAO,imuvao_P1_H
INEBOT,inebot_P1_charged_H
INEBOT01,inebot01_P1_charged
IPIJUM,ipijum_P1_H
IPUPIU,ipupiu_P1
IQOKIK,iqokik_P1
ISAYOQ,isayoq_P1_charged_H
IVILEG,ivileg_P1_charged
IWEVAJ,iwevaj_P1_H
IXEJIG,ixejig_P1
IXEJOM,ixejom_P1
IXEJUS,ixejus_P1
IYEPUZ,iyepuz_P1
IYESUC,iyesuc_P1
IYUJAO,iyujao_P1
IZEQUB,izequb_P1_H
IZIBUQ,izibuq_P1_H
JAHXUM,jahxum_P1
JALLOA,jalloa_P1_H
JAVNIE,javnie_P1_H
JEBWEV,jebwev_P1_charged_H
JEDJUY,jedjuy_P1_H
JETLUS,jetlus_P1_H
JICJAJ,jicjaj_P1
JICJEN,jicjen_P1_H
