CSD refcode,CIF filename
FENVOL,fenvol_P1_charged_H
FEPGAL,fepgal_P1_H
FEPGEP,fepgep_P1_H
FEWGUL,fewgul_P1_H
FEWQIJ,fewqij_P1_H
FEWQOP,fewqop_P1_H
FIBHEF,fibhef_P1_H
FIDLUC,fidluc_P1_charged_H
FIFGAE,fifgae_P1_charged_H
FIFNUE,fifnue_P1_H
FIFPOA,fifpoa_P1_H
FILYEG,filyeg_P1_H
FIQCEN,fiqcen_P1_H
FISCUI,fiscui_P1_H
FITJAU,fitjau_P1_charged_H
FITJEY,fitjey_P1_charged_H
FIXLAC,fixlac_P1_charged_H
FIXVUE,fixvue_P1_H
FIYDOH,fiydoh_P1_H
FIYSAK,fiysak_P1_H
FOFDUC,fofduc_P1_H
FOGGEQ,foggeq_P1_H
FOJKOG,fojkog_P1_charged_H
FOPBET,fopbet_P1_H
FOPPEI,foppei_P1_H
FORTIR,fortir_P1_H
FOTNIN,fotnin_P1_H
FOVPOX,fovpox_P1_H
FOVPUD,fovpud_P1_H
FOXNIQ,foxniq_P1_H
FUHVUB,fuhvub_P1_H
FUMYAQ,fumyaq_P1_H
FUNKAD,funkad_P1_H
FUQYEY,fuqyey_P1_H
FURHOS,furhos_P1_charged_H
FUSQUH,fusquh_P1_H
FUTZOK,futzok_P1_H
FUWFIO,fuwfio_P1_H
FUWFOU,fuwfou_P1_H
FUWXOL,fuwxol_P1_H
FUWYAY,fuwyay_P1_H
FUXCUZ,fuxcuz_P1_H
FUXXIH,fuxxih_P1_H
FUYCIN,fuycin_P1_charged_H
GACVIS,gacvis_P1_H
GAGSUF,gagsuf_P1_H
GAGTOA,gagtoa_P1_H
GAGXAP,gagxap_P1_H
GAJTUI,gajtui_P1_H
GAJVAQ,gajvaq_P1_H
GAJVEU,gajveu_P1_charged_H
GALCAZ,galcaz_P1_H
GALHOS,galhos_P1_H
GALLOW,gallow_P1_H
GAMTAQ,gamtaq_P1_H
GAMTEU,gamteu_P1_H
GAMTIY,gamtiy_P1_H
GAWKEW,gawkew_P1_H
GAWMOI,gawmoi_P1_H
GAZDAP,gazdap_P1_H
GAZLAW,gazlaw_P1_H
GECKUX,geckux_P1_H
GECLAE,geclae_P1_H
GECRAI,gecrai_P1_charged_H
GEDPEN,gedpen_P1_H
GEDRAK,gedrak_P1_H
GEDREO,gedreo_P1_H
GEDROY,gedroy_P1_H
GEDSOZ,gedsoz_P1_H
GEDXOF,gedxof_P1_H
GEFZAV,gefzav_P1_H
GELVEZ,gelvez_P1_H
GELVEZ01,gelvez01_P1_H
GELVEZ02,gelvez02_P1_H
GELVID,gelvid_P1_H
GELVID01,gelvid01_P1_H
GERBEN,gerben_P1_H
GERPUP,gerpup_P1_H
GERWEH,gerweh_P1_H
GESFAN,gesfan_P1_H
GEWCOC,gewcoc_P1_H
GEWQAA,gewqaa_P1_H
GEYLEE,geylee_P1_H
GIFKAH,gifkah_P1_H
GINTIJ,gintij_P1_H
GINYAG,ginyag_P1_H
GINYIO,ginyio_P1_H
GINYOU,ginyou_P1_H
GINYUA,ginyua_P1_H
GIRYAK,giryak_P1_H
GITPIK,gitpik_P1_H
GIWSOX,giwsox_P1_H
GODMUK,godmuk_P1_charged_H
GOMQUX,gomqux_P1_H
GOMRAE,gomrae_P1_H
GOSDID,gosdid_P1_H
GOVKOU,govkou_P1_charged_H
GOZROE,gozroe_P1_H
GUBKUL,gubkul_P1_H
GUFYUE,gufyue_P1_charged_H
GUKNIK,guknik_P1_H
GUKQUZ,gukquz_P1_H
GUKVEO,gukveo_P1_H
GUKVIS,gukvis_P1_H
GURTIX,gurtix_P1_H
GUSNEN,gusnen_P1_H
GUXQAR,guxqar_P1_H
HACTEL,hactel_P1_H
HAFQOW,hafqow_P1_H
HAFQUC,hafquc_P1_H
HAFVOB,hafvob_P1_H
HAFVUH,hafvuh_P1_H
HAKWAU,hakwau_P1_H
HAMREU,hamreu_P1_H
HAMRIY,hamriy_P1_H
HAPVAX,hapvax_P1_H
HAPVEB,hapveb_P1_H
HASTAY,hastay_P1_H
HAWREE,hawree_P1_H
HAZSIL,hazsil_P1_H
HEBZAR,hebzar_P1_H
HEBZEV,hebzev_P1_H
HEDBID,hedbid_P1_H
HEDBOJ,hedboj_P1_H
HEDBUP,hedbup_P1_H
HEFDED,hefded_P1_H
HEFDIH,hefdih_P1_H
HEMBUZ,hembuz_P1_H
HEMTEZ,hemtez_P1_charged_H
HENJOC,henjoc_P1_H
HENJUI,henjui_P1_H
HENYOR,henyor_P1_H
HEPCIR,hepcir_P1_H
HEPLOG,heplog_P1_H
HEPLUM,heplum_P1_H
HESCUG,hescug_P1_H
HESDAN,hesdan_P1_H
HETCOB,hetcob_P1_charged_H
HIDBIH,hidbih_P1_H
HIFZAY,hifzay_P1_charged_H
HINFER,hinfer_P1_charged_H
HIPWOV,hipwov_P1_H
HIQDUJ,hiqduj_P1_H
HIQDUJ01,hiqduj01_P1_H
HIQDUJ02,hiqduj02_P1_H
HIQDUJ03,hiqduj03_P1_H
HIQDUJ04,hiqduj04_P1_H
HIQDUJ05,hiqduj05_P1_H
HIQDUJ06,hiqduj06_P1_H
HIQDUJ07,hiqduj07_P1_H
HIQDUJ08,hiqduj08_P1_H
HIQDUJ09,hiqduj09_P1_H
HIWXER,hiwxer_P1_H
HIXDOH01,hixdoh01_P1_H
HIYRAJ,hiyraj_P1_H
HOLYEP,holyep_P1_H
HOLYIT,holyit_P1_H
HOLYOZ,holyoz_P1_H
HOQBOF,hoqbof_P1_H
HOWPOZ,howpoz_P1_H
HOWPUF,howpuf_P1_H
HOWQOA,howqoa_P1_H
HOWRUI,howrui_P1_H
HOWSAP,howsap_P1_H
HOXKIP,hoxkip_P1_H
HOXWOJ,hoxwoj_P1_H
HOZFIN,hozfin_P1_charged_H
HUCFAO,hucfao_P1_H
HUJGEA,hujgea_P1_H
HUPTER,hupter_P1_H
HURQUG,hurqug_P1_H
HUVHIR,huvhir_P1_H
HUVHOX,huvhox_P1_charged_H
HUWLUI,huwlui_P1_H
HUWRAV,huwrav_P1_charged_H
HUWSIE,huwsie_P1_charged_H
HUYJOA,huyjoa_P1_H
HUZSUR,huzsur_P1_H
IBARUA,ibarua_P1_H
IBASAH,ibasah_P1_H
IBASEL,ibasel_P1_H
IBASOV,ibasov_P1_H
IBASUB,ibasub_P1_H
IBATAI,ibatai_P1_H
IBATEM,ibatem_P1_H
IBITUK,ibituk_P1_charged_H
IBOWIH,ibowih_P1_charged_H
ICEPEM,icepem_P1_H
ICITEU,iciteu_P1_charged_H
ICIVAS,icivas_P1_H
ICIZOL,icizol_P1_H
IDAGEA,idagea_P1_H
IDAGUR,idagur_P1_H
IDORAW,idoraw_P1_H
IDUQUT,iduqut_P1_H
IFAGEE,ifagee_P1_charged_H
IFAGII,ifagii_P1_charged_H
IFOSIG,ifosig_P1_H
IFOTAB,ifotab_P1_H
IGAHED,igahed_P1_H
IGAHED02,igahed02_P1_H
IGEJUC,igejuc_P1_H
IHAZOH,ihazoh_P1_charged_H
IJANAJ,ijanaj_P1_H
IJASAO,ijasao_P1_H
IJASOC,ijasoc_P1_H
IJEVEA,ijevea_P1_H
IJEVIE,ijevie_P1_charged_H
IJEXAX,ijexax_P1_H
IJEXEB,ijexeb_P1_H
IJEXUR,ijexur_P1_charged_H
IJEXUS,ijexus_P1_charged_H
IJEYIG,ijeyig_P1_H
IKAYAU,ikayau_P1_H
IKEZED,ikezed_P1_charged_H
ILIFOY,ilifoy_P1_H
ILIFUE,ilifue_P1_H
ILIGAL,iligal_P1_H
ILIGEP,iligep_P1_H
ILOJOJ,ilojoj_P1_H
ILUGOM,ilugom_P1_H
ILUHON,iluhon_P1_H
ILUJAB,ilujab_P1_H
ILUJIJ,ilujij_P1_H
IMUVAO,imuvao_P1_H
INAMUG,inamug_P1_H
INEBOT,inebot_P1_charged_H
INIREE,iniree_P1_H
INIRII,inirii_P1_H
INISAB,inisab_P1_H
IPIJUM,ipijum_P1_H
IPOVOA,ipovoa_P1_H
IRISAD,irisad_P1_charged_H
ISAYOQ,isayoq_P1_charged_H
