CSD refcode,CIF filename,original crystal system,Sohncke space group,Percentage void space,Charged framework,Hydrogen added,Unreliable chemistry
OQIQUB01,oqiqub01_P1_charged_H,tetragonal,-,25.527,Yes,Yes,Yes
OQOBUT,oqobut_P1_H,tetragonal,Yes,42.021,-,Yes,-
OQOCAA,oqocaa_P1_H,tetragonal,-,37.48,-,Yes,-
OQOJUB,oqojub_P1,orthorhombic,Yes,19.806,-,-,-
OQUCOU,oqucou_P1_charged_H,monoclinic,Yes,28.878,Yes,Yes,-
OQUCUA,oqucua_P1_charged_H,monoclinic,Yes,30.436,Yes,Yes,-
OQUWUU,oquwuu_P1,orthorhombic,-,21.837,-,-,Yes
OQUXAB,oquxab_P1,orthorhombic,-,27.711,-,-,-
OQUXEF,oquxef_P1_H,orthorhombic,-,12.306,-,Yes,-
OQUXIJ,oquxij_P1_H,orthorhombic,-,11.121,-,Yes,-
OQUZIL,oquzil_P1_charged_H,orthorhombic,-,12.004,Yes,Yes,-
ORAGOF,oragof_P1_charged,monoclinic,Yes,54.503,Yes,-,-
ORANAY,oranay_P1,hexagonal,-,21.539,-,-,-
ORAPUU,orapuu_P1_H,monoclinic,-,13.237,-,Yes,-
OREFIC,orefic_P1,orthorhombic,-,52.293,-,-,-
OREZAO,orezao_P1,hexagonal,Yes,24.951,-,-,-
OREZES,orezes_P1_charged,hexagonal,Yes,24.947,Yes,-,-
ORIBAU,oribau_P1_H,orthorhombic,-,53.783,-,Yes,-
ORIFUS,orifus_P1,rhombohedral,Yes,35.02,-,-,-
ORIVOC,orivoc_P1_H,rhombohedral,-,48.706,-,Yes,Yes
ORIVUI,orivui_P1_H,rhombohedral,-,49.955,-,Yes,Yes
ORIWAP,oriwap_P1_H,rhombohedral,-,49.26,-,Yes,Yes
ORIWET,oriwet_P1_H,rhombohedral,-,49.588,-,Yes,Yes
OROZEB,orozeb_P1,orthorhombic,-,24.956,-,-,-
OROZEB01,orozeb01_P1,orthorhombic,-,24.539,-,-,-
ORUKET,oruket_P1_charged,hexagonal,-,55.532,Yes,-,-
ORULEU,oruleu_P1_H,monoclinic,-,25.257,-,Yes,-
OSAXAI,osaxai_P1,monoclinic,-,19.635,-,-,-
OSIKIL,osikil_P1,orthorhombic,-,54.414,-,-,-
OSIKUX,osikux_P1_H,orthorhombic,-,55.567,-,Yes,-
OSILOS,osilos_P1_charged,tetragonal,-,16.372,Yes,-,-
OSIVIX,osivix_P1_charged,monoclinic,-,34.689,Yes,-,-
OSIWOD01,osiwod01_P1,monoclinic,-,16.402,-,-,-
OSIWUJ,osiwuj_P1,monoclinic,-,16.517,-,-,-
OSIXEU,osixeu_P1,monoclinic,-,15.462,-,-,-
OSIXIY,osixiy_P1,monoclinic,-,13.807,-,-,-
OSOMEP,osomep_P1_charged,monoclinic,-,12.836,Yes,-,-
OSOMIT,osomit_P1_H,triclinic,-,10.81,-,Yes,-
OSOTUN,osotun_P1,rhombohedral,-,43.512,-,-,-
OSUGUG,osugug_P1_charged,monoclinic,-,13.39,Yes,-,-
OSURAX,osurax_P1_H,orthorhombic,-,16.966,-,Yes,-
OTALUS,otalus_P1_charged,tetragonal,-,61.517,Yes,-,-
OTARIL,otaril_P1,monoclinic,-,25.618,-,-,-
OTATOT,otatot_P1,orthorhombic,-,38.397,-,-,-
OTAVAH,otavah_P1,orthorhombic,-,39.056,-,-,-
OTAVOV,otavov_P1,orthorhombic,-,39.32,-,-,-
OTAVUB,otavub_P1,orthorhombic,-,38.212,-,-,-
OTAWIR,otawir_P1,monoclinic,-,56.67,-,-,-
OTAXOX,otaxox_P1,orthorhombic,-,28.581,-,-,-
OTECEX,otecex_P1,tetragonal,Yes,68.153,-,-,-
OTECUN,otecun_P1,tetragonal,Yes,58.509,-,-,-
OTEDEY,otedey_P1,tetragonal,Yes,57.948,-,-,-
OTEDOI,otedoi_P1,tetragonal,Yes,68.273,-,-,-
OTEDUO,oteduo_P1,tetragonal,Yes,69.003,-,-,-
OTEGOL,otegol_P1,tetragonal,Yes,47.511,-,-,-
OTEGOL01,otegol01_P1,tetragonal,Yes,46.858,-,-,-
OTEHAY,otehay_P1,tetragonal,Yes,46.027,-,-,-
OTENEH,oteneh_P1_charged,monoclinic,-,32.217,Yes,-,-
OTIBUQ,otibuq_P1_H,orthorhombic,-,55.752,-,Yes,-
OTIJAE,otijae_P1_charged,rhombohedral,-,20.758,Yes,-,-
OTIPAK,otipak_P1,orthorhombic,-,33.039,-,-,-
OTIPEO,otipeo_P1,orthorhombic,-,31.396,-,-,-
OTIPUE,otipue_P1,monoclinic,-,21.612,-,-,-
OTIQAL,otiqal_P1,monoclinic,-,36.859,-,-,-
OTIQEP,otiqep_P1,monoclinic,Yes,18.81,-,-,-
OTODOS,otodos_P1_charged,monoclinic,-,25.664,Yes,-,-
OTOVIE,otovie_P1_H,monoclinic,-,29.114,-,Yes,-
OTOZII,otozii_P1,monoclinic,-,58.879,-,-,-
OTOZOO,otozoo_P1,monoclinic,-,56.019,-,-,-
OTUDEO,otudeo_P1,hexagonal,Yes,57.691,-,-,Yes
OTUDIS,otudis_P1,hexagonal,Yes,57.998,-,-,Yes
OTUXEH,otuxeh_P1,monoclinic,-,10.855,-,-,-
OVABUJ,ovabuj_P1_H,monoclinic,-,14.257,-,Yes,-
OVEDEA,ovedea_P1,orthorhombic,-,69.236,-,-,-
OVEDOJ,ovedoj_P1,monoclinic,-,23.457,-,-,-
OVEDUP,ovedup_P1,triclinic,-,41.886,-,-,-
OVEFUR,ovefur_P1_H,monoclinic,-,11.395,-,Yes,-
OVICUS,ovicus_P1,monoclinic,-,24.87,-,-,-
OVIDON,ovidon_P1,monoclinic,-,10.572,-,-,-
OVIHOR01,ovihor01_P1,hexagonal,Yes,22.435,-,-,-
OVIHOR02,ovihor02_P1,hexagonal,Yes,22.469,-,-,-
OVIZID,ovizid_P1_H,monoclinic,-,24.138,-,Yes,Yes
OVIZUP,ovizup_P1_H,tetragonal,Yes,11.358,-,Yes,-
OWAVIS,owavis_P1,orthorhombic,-,62.301,-,-,-
OWAVOY,owavoy_P1,monoclinic,Yes,53.464,-,-,-
OWAWOZ,owawoz_P1,monoclinic,-,13.831,-,-,-
OWIHEJ,owihej_P1,tetragonal,Yes,46.451,-,-,-
OWILAJ,owilaj_P1_H,triclinic,-,50.629,-,Yes,-
OWITAQ,owitaq_P1_charged,cubic,-,73.865,Yes,-,-
OWITEU,owiteu_P1_charged,cubic,-,73.765,Yes,-,-
OWITIY,owitiy_P1_charged,tetragonal,-,74.649,Yes,-,-
OWITOE,owitoe_P1_charged,cubic,-,73.281,Yes,-,-
OWITUK,owituk_P1_charged,cubic,-,73.466,Yes,-,-
OWIVAS,owivas_P1_charged,cubic,-,73.94,Yes,-,-
OWIVEW,owivew_P1_charged,cubic,-,66.822,Yes,-,-
OWIZAW,owizaw_P1,monoclinic,-,78.967,-,-,-
OWUGAP,owugap_P1_charged,monoclinic,-,13.474,Yes,-,-
OXALEF,oxalef_P1_charged_H,triclinic,-,48.535,Yes,Yes,-
OXALIJ,oxalij_P1_charged,triclinic,-,49.222,Yes,-,-
OXALUV,oxaluv_P1_H,monoclinic,-,64.416,-,Yes,-
OXAZIX,oxazix_P1,monoclinic,-,22.358,-,-,-
OXETUH,oxetuh_P1,hexagonal,-,17.631,-,-,-
OXEVOE,oxevoe_P1_charged,orthorhombic,-,22.503,Yes,-,-
OXICEF,oxicef_P1,orthorhombic,-,35.053,-,-,-
OXITOF,oxitof_P1,triclinic,-,24.439,-,-,Yes
OXUNEB,oxuneb_P1_charged_H,triclinic,-,12.485,Yes,Yes,-
OXUPUT,oxuput_P1_H,tetragonal,-,21.807,-,Yes,Yes
OXUWIP,oxuwip_P1_H,orthorhombic,Yes,13.964,-,Yes,-
OYEBIE,oyebie_P1,monoclinic,-,21.294,-,-,-
OYERER,oyerer_P1_charged,hexagonal,-,72.943,Yes,-,Yes
OYERIV,oyeriv_P1_charged_H,hexagonal,-,56.712,Yes,Yes,-
OYEWEW,oyewew_P1,orthorhombic,-,67.184,-,-,-
OYIVEY,oyivey_P1,orthorhombic,-,49.117,-,-,-
OYODAI,oyodai_P1_H,rhombohedral,-,40.709,-,Yes,-
OYODEM,oyodem_P1,tetragonal,-,34.409,-,-,-
OYUJUO,oyujuo_P1_H,cubic,-,51.773,-,Yes,-
OZEMIQ,ozemiq_P1_charged_H,rhombohedral,-,56.815,Yes,Yes,Yes
OZEMOW,ozemow_P1_charged_H,rhombohedral,-,57.165,Yes,Yes,Yes
OZIPAQ,ozipaq_P1_H,triclinic,-,20.213,-,Yes,-
OZOGAN,ozogan_P1_charged,cubic,-,49.223,Yes,-,-
OZOPEA,ozopea_P1,orthorhombic,Yes,20.404,-,-,-
OZOPIE,ozopie_P1,orthorhombic,Yes,20.362,-,-,-
OZUKOL,ozukol_P1,rhombohedral,-,59.951,-,-,-
OZUKUR,ozukur_P1,rhombohedral,-,60.16,-,-,-
OZUKUR01,ozukur01_P1,rhombohedral,-,60.575,-,-,-
OZULAY,ozulay_P1,rhombohedral,-,59.708,-,-,-
OZULUS,ozulus_P1,rhombohedral,-,57.269,-,-,-
OZUMAZ,ozumaz_P1,rhombohedral,-,57.118,-,-,-
OZUMAZ01,ozumaz01_P1,rhombohedral,-,57.154,-,-,-
OZUMIH,ozumih_P1,rhombohedral,-,57.624,-,-,-
PACGIM,pacgim_P1_charged,rhombohedral,-,52.715,Yes,-,Yes
PACZUQ,paczuq_P1_H,triclinic,-,25.819,-,Yes,-
PADBAZ,padbaz_P1_charged_H,rhombohedral,-,23.521,Yes,Yes,Yes
PADKIP26,padkip26_P1_charged,orthorhombic,-,32.105,Yes,-,-
PADKIP27,padkip27_P1_charged,orthorhombic,-,32.258,Yes,-,-
PADKIP28,padkip28_P1_charged,orthorhombic,-,32.615,Yes,-,-
PADKIP29,padkip29_P1_charged,orthorhombic,-,33.023,Yes,-,-
PADKIP30,padkip30_P1_charged,orthorhombic,-,33.278,Yes,-,-
PADKIP31,padkip31_P1_charged,orthorhombic,-,33.635,Yes,-,-
PADKIP32,padkip32_P1_charged,orthorhombic,-,33.355,Yes,-,-
PADRET,padret_P1,monoclinic,-,16.418,-,-,-
PAFMUH,pafmuh_P1,monoclinic,-,15.155,-,-,-
PAFNES,pafnes_P1,monoclinic,-,22.611,-,-,-
PAFPAQ,pafpaq_P1,tetragonal,Yes,27.604,-,-,-
PAFPOF,pafpof_P1,triclinic,-,46.275,-,-,-
PAFVEA,pafvea_P1,monoclinic,-,10.573,-,-,-
PAHLET,pahlet_P1,monoclinic,-,22.1,-,-,-
PAHPOG,pahpog_P1_charged,triclinic,-,29.004,Yes,-,-
PAJRUQ,pajruq_P1,orthorhombic,-,54.686,-,-,-
PAKXIK,pakxik_P1,triclinic,-,24.543,-,-,-
PANYEL,panyel_P1,monoclinic,-,21.85,-,-,-
PANYOU,panyou_P1,orthorhombic,-,30.576,-,-,-
PAPKAV,papkav_P1_charged,monoclinic,-,13.545,Yes,-,-
PAPLUQ,papluq_P1,orthorhombic,-,47.548,-,-,-
PAPNUR,papnur_P1_charged_H,trigonal,Yes,10.763,Yes,Yes,-
PAPROO,paproo_P1_H,trigonal,-,28.159,-,Yes,-
PAPRUU,papruu_P1_H,trigonal,-,26.034,-,Yes,-
PAPZAJ,papzaj_P1_H,triclinic,-,10.198,-,Yes,Yes
PAQFIY,paqfiy_P1_charged,orthorhombic,-,20.58,Yes,-,-
PAQTIM01,paqtim01_P1_charged,monoclinic,-,34.725,Yes,-,-
PAQTOS01,paqtos01_P1_charged,monoclinic,-,35.624,Yes,-,-
PAQVIO,paqvio_P1_charged,monoclinic,-,36.053,Yes,-,-
PAQVOU,paqvou_P1_charged,monoclinic,-,33.763,Yes,-,-
PARHAS,parhas_P1,monoclinic,-,42.848,-,-,-
PARHEW,parhew_P1,monoclinic,-,51.028,-,-,-
PARKUQ,parkuq_P1,monoclinic,-,39.226,-,-,-
PARKUQ01,parkuq01_P1,monoclinic,-,39.426,-,-,-
PARMIG,parmig_P1,tetragonal,Yes,32.248,-,-,-
PARNON,parnon_P1,monoclinic,-,31.428,-,-,-
PARVUB,parvub_P1,monoclinic,-,10.162,-,-,-
PASFAS,pasfas_P1,monoclinic,-,16.206,-,-,-
PASFEW,pasfew_P1,monoclinic,-,16.346,-,-,-
PASFIA,pasfia_P1,monoclinic,-,16.206,-,-,-
PASFOH,pasfoh_P1,monoclinic,-,26.0,-,-,-
PASGAU,pasgau_P1,monoclinic,-,25.423,-,-,-
PASJEA,pasjea_P1,triclinic,-,10.84,-,-,-
PASMUT,pasmut_P1,monoclinic,-,11.47,-,-,-
PASNAA,pasnaa_P1,monoclinic,-,11.777,-,-,-
PASNAA01,pasnaa01_P1,monoclinic,-,10.958,-,-,-
PASNAB,pasnab_P1_charged,hexagonal,-,59.206,Yes,-,-
PATWOY,patwoy_P1,triclinic,-,42.519,-,-,-
PAVKIH,pavkih_P1_charged,monoclinic,-,37.294,Yes,-,-
PAVLII,pavlii_P1_charged_H,orthorhombic,-,17.838,Yes,Yes,-
PAVLUU,pavluu_P1_charged,tetragonal,-,40.947,Yes,-,-
PAVNEI,pavnei_P1_charged_H,orthorhombic,-,12.006,Yes,Yes,-
PAWXIX,pawxix_P1_charged,cubic,Yes,11.681,Yes,-,-
PAXHOO,paxhoo_P1,monoclinic,-,11.744,-,-,-
PAXHUU,paxhuu_P1,monoclinic,-,13.55,-,-,-
PAXJOQ,paxjoq_P1,orthorhombic,-,19.721,-,-,-
PEBXIF,pebxif_P1,monoclinic,-,19.156,-,-,-
PECCIM,peccim_P1,monoclinic,-,30.732,-,-,-
PEDKUF,pedkuf_P1_charged,tetragonal,-,19.042,Yes,-,-
PEDLAM,pedlam_P1_charged,tetragonal,-,18.297,Yes,-,-
PEDRIA,pedria_P1,cubic,-,78.692,-,-,-
PEDWIH,pedwih_P1,monoclinic,Yes,37.499,-,-,-
PEFHEO,pefheo_P1_charged,monoclinic,-,21.714,Yes,-,-
PEFRUP,pefrup_P1,monoclinic,-,50.338,-,-,Yes
PEFSEA,pefsea_P1,orthorhombic,Yes,26.153,-,-,-
PEFSIE,pefsie_P1,orthorhombic,Yes,17.107,-,-,-
PEFSUQ,pefsuq_P1,triclinic,Yes,19.804,-,-,-
PEFTAX,peftax_P1,orthorhombic,Yes,26.288,-,-,-
PEGBAG,pegbag_P1,monoclinic,-,19.713,-,-,-
PEGBEK,pegbek_P1,monoclinic,-,19.827,-,-,-
PEGBEK01,pegbek01_P1,monoclinic,-,19.833,-,-,-
PEGBEK02,pegbek02_P1,monoclinic,-,20.22,-,-,-
PEGBEK03,pegbek03_P1,monoclinic,-,19.899,-,-,-
PEGBEL,pegbel_P1,monoclinic,-,48.663,-,-,-
PEGBUA,pegbua_P1,monoclinic,-,19.944,-,-,-
PEGCAH,pegcah_P1,monoclinic,-,22.072,-,-,-
PEGCEL,pegcel_P1,monoclinic,-,23.326,-,-,-
PEGCIP,pegcip_P1,hexagonal,Yes,34.619,-,-,-
PEGPOI,pegpoi_P1_H,tetragonal,-,12.488,-,Yes,-
PEGPUO,pegpuo_P1_H,tetragonal,-,10.274,-,Yes,-
PEGQAV,pegqav_P1_H,tetragonal,-,10.791,-,Yes,-
PEGQID,pegqid_P1_H,tetragonal,-,12.022,-,Yes,-
PEGQOJ,pegqoj_P1_H,tetragonal,-,11.999,-,Yes,-
PEGQUP,pegqup_P1_H,tetragonal,-,12.03,-,Yes,-
PEHBIO,pehbio_P1,cubic,-,52.963,-,-,-
PEHNIB,pehnib_P1,tetragonal,Yes,34.799,-,-,-
PEHNOI,pehnoi_P1_charged,triclinic,-,36.575,Yes,-,-
PEHQID,pehqid_P1_charged,orthorhombic,Yes,31.683,Yes,-,Yes
PEHSED01,pehsed01_P1_charged,hexagonal,Yes,51.668,Yes,-,-
PEJFUG,pejfug_P1_charged_H,monoclinic,-,34.058,Yes,Yes,-
PEJMUN,pejmun_P1_charged,cubic,-,40.491,Yes,-,-
PEJNOJ,pejnoj_P1_charged,cubic,-,64.621,Yes,-,-
PEJNUP,pejnup_P1_charged,monoclinic,-,51.249,Yes,-,-
PEJPEB,pejpeb_P1_H,rhombohedral,-,43.515,-,Yes,-
PEJPOL,pejpol_P1_charged,monoclinic,-,33.582,Yes,-,-
PEJRAZ,pejraz_P1,orthorhombic,-,45.408,-,-,-
PEKCOA,pekcoa_P1,monoclinic,-,50.063,-,-,-
PEKDAM,pekdam_P1,monoclinic,-,42.981,-,-,-
PEKGET,pekget_P1,monoclinic,-,14.675,-,-,-
PEKGIX,pekgix_P1,monoclinic,-,12.784,-,-,-
PEKGOD,pekgod_P1,monoclinic,-,14.645,-,-,-
PEKGUJ,pekguj_P1,monoclinic,-,18.273,-,-,-
PEKHAQ,pekhaq_P1,monoclinic,-,14.658,-,-,-
PEKHEU,pekheu_P1,monoclinic,-,14.202,-,-,-
PEKHIY,pekhiy_P1,monoclinic,-,18.408,-,-,-
PEKHOE,pekhoe_P1,monoclinic,-,14.081,-,-,-
PEKHUK,pekhuk_P1,monoclinic,-,18.135,-,-,-
PEKJAS,pekjas_P1,monoclinic,-,14.038,-,-,-
PEKVAE,pekvae_P1,monoclinic,-,17.491,-,-,-
PEKYOW,pekyow_P1,monoclinic,-,25.616,-,-,-
PELGIY,pelgiy_P1,orthorhombic,-,28.932,-,-,-
PELGOE,pelgoe_P1,trigonal,Yes,25.282,-,-,-
PELQEE,pelqee_P1,triclinic,-,14.509,-,-,-
PELRIJ,pelrij_P1,cubic,-,74.262,-,-,Yes
PELWEK,pelwek_P1,monoclinic,-,27.725,-,-,-
PELXIP,pelxip_P1,monoclinic,-,15.913,-,-,-
PEMGAR,pemgar_P1_charged,tetragonal,-,30.662,Yes,-,-
PEMGIZ,pemgiz_P1_charged,tetragonal,-,19.509,Yes,-,-
PEMREG,pemreg_P1,monoclinic,-,60.99,-,-,-
PEMRIK,pemrik_P1,monoclinic,-,35.362,-,-,-
PENBAO,penbao_P1_charged,monoclinic,-,25.402,Yes,-,-
PENCOD,pencod_P1,triclinic,-,29.854,-,-,-
PENNUT,pennut_P1,triclinic,-,31.604,-,-,-
PENVEM01,penvem01_P1_H,cubic,-,80.384,-,Yes,-
PENZUE,penzue_P1,orthorhombic,-,12.93,-,-,-
PEPFAT,pepfat_P1_H,orthorhombic,-,53.37,-,Yes,Yes
PEPLEC,peplec_P1,orthorhombic,Yes,46.876,-,-,-
PEPLIG,peplig_P1,orthorhombic,Yes,45.699,-,-,-
PEPLOM,peplom_P1,orthorhombic,-,36.209,-,-,-
PEQHOK,peqhok_P1,tetragonal,-,21.371,-,-,-
PEQHOK01,peqhok01_P1,tetragonal,-,21.593,-,-,-
PEQHUQ,peqhuq_P1,tetragonal,-,23.477,-,-,-
PEQREL,peqrel_P1,triclinic,-,13.196,-,-,-
PEQREL01,peqrel01_P1,triclinic,-,13.513,-,-,-
PEQREL02,peqrel02_P1,triclinic,-,13.486,-,-,-
PERSIQ,persiq_P1,rhombohedral,-,26.903,-,-,-
PESSAK,pessak_P1_charged,trigonal,-,20.68,Yes,-,-
PESSAK01,pessak01_P1_charged,trigonal,-,20.797,Yes,-,-
PESSIS,pessis_P1,hexagonal,-,71.133,-,-,-
PESSOY,pessoy_P1,hexagonal,Yes,76.232,-,-,-
PESSUE,pessue_P1,hexagonal,Yes,78.651,-,-,-
PESTAL,pestal_P1_charged,trigonal,-,20.758,Yes,-,-
PESYAQ,pesyaq_P1,rhombohedral,Yes,11.849,-,-,-
PESYOE,pesyoe_P1,orthorhombic,-,56.869,-,-,-
PESZAR,peszar_P1,rhombohedral,Yes,11.659,-,-,-
PETDOK,petdok_P1,hexagonal,Yes,67.451,-,-,-
PETFEC,petfec_P1,orthorhombic,-,31.257,-,-,-
PEVYUM,pevyum_P1,monoclinic,Yes,24.094,-,-,-
PEVZAT,pevzat_P1,monoclinic,Yes,25.67,-,-,-
PEWFII,pewfii_P1_H,triclinic,-,27.217,-,Yes,Yes
PEWFII01,pewfii01_P1,triclinic,-,22.393,-,-,-
PEWGEF,pewgef_P1,rhombohedral,-,33.701,-,-,-
PEWXUL01,pewxul01_P1_charged,monoclinic,-,31.581,Yes,-,-
PEXBIF01,pexbif01_P1,monoclinic,-,12.348,-,-,-
PEXGUX,pexgux_P1,monoclinic,Yes,29.313,-,-,-
PEXTES,pextes_P1,monoclinic,-,10.497,-,-,-
PEXTUI,pextui_P1_H,monoclinic,-,35.216,-,Yes,Yes
PEYPIU,peypiu_P1,triclinic,-,28.404,-,-,-
PEYSIW,peysiw_P1_charged,monoclinic,-,31.493,Yes,-,-
PEYSUJ,peysuj_P1,tetragonal,-,19.59,-,-,-
PEYVEV,peyvev_P1_H,hexagonal,-,48.837,-,Yes,Yes
PEYVOG,peyvog_P1_charged_H,monoclinic,Yes,16.032,Yes,Yes,-
PEYWAT,peywat_P1,monoclinic,-,24.49,-,-,-
PEZCII,pezcii_P1,rhombohedral,Yes,49.407,-,-,-
PEZNUG01,peznug01_P1_charged,trigonal,-,20.369,Yes,-,-
PEZPAO01,pezpao01_P1_charged,trigonal,-,19.008,Yes,-,-
PEZSUL,pezsul_P1,tetragonal,-,16.565,-,-,-
PEZTAS,peztas_P1,tetragonal,-,18.329,-,-,-
PIBBEK,pibbek_P1,monoclinic,-,29.983,-,-,-
PIBGUF,pibguf_P1,rhombohedral,-,61.491,-,-,-
PIBNUK,pibnuk_P1,cubic,Yes,77.934,-,-,Yes
PIBNUK01,pibnuk01_P1,cubic,Yes,77.934,-,-,Yes
PIBPIA,pibpia_P1,cubic,Yes,78.003,-,-,Yes
PIBXOP,pibxop_P1_charged,tetragonal,-,59.992,Yes,-,-
PIBXUV,pibxuv_P1_charged,tetragonal,-,62.425,Yes,-,-
PIBZAE,pibzae_P1,monoclinic,-,11.731,-,-,-
PIBZOS,pibzos_P1_H,tetragonal,-,46.634,-,Yes,-
PIBZUY,pibzuy_P1_H,tetragonal,-,45.734,-,Yes,-
PICBAH,picbah_P1_H,tetragonal,-,47.377,-,Yes,-
PICCOW,piccow_P1_H,monoclinic,-,48.188,-,Yes,-
PICTIG,pictig_P1,monoclinic,-,54.29,-,-,-
PIDJEU,pidjeu_P1,monoclinic,-,37.367,-,-,-
PIDMEV,pidmev_P1,monoclinic,-,36.844,-,-,-
PIDMEV01,pidmev01_P1_H,monoclinic,-,35.38,-,Yes,-
PIDPOK,pidpok_P1,orthorhombic,-,12.616,-,-,-
PIDQOL,pidqol_P1,triclinic,-,12.049,-,-,-
PIDVOQ,pidvoq_P1,monoclinic,-,25.736,-,-,-
PIDVUW,pidvuw_P1_H,rhombohedral,Yes,13.171,-,Yes,-
PIFPIE,pifpie_P1,monoclinic,-,46.391,-,-,-
PIGHIX,pighix_P1_charged,monoclinic,-,10.163,Yes,-,-
PIGXAF,pigxaf_P1_charged_H,cubic,-,12.139,Yes,Yes,-
PIGXUZ,pigxuz_P1_H,monoclinic,-,17.411,-,Yes,-
PIHJIB,pihjib_P1,orthorhombic,-,25.302,-,-,-
PIHJOH,pihjoh_P1,monoclinic,-,18.512,-,-,-
PIHJOH01,pihjoh01_P1,monoclinic,-,15.803,-,-,-
PIHJOH02,pihjoh02_P1,monoclinic,-,15.545,-,-,-
PIHJOH03,pihjoh03_P1,monoclinic,-,15.208,-,-,-
PIHNUQ,pihnuq_P1,monoclinic,-,15.622,-,-,-
PIHWAG,pihwag_P1,monoclinic,-,29.079,-,-,-
PIJJEZ,pijjez_P1_charged,rhombohedral,-,58.743,Yes,-,-
PIJJOI,pijjoi_P1,orthorhombic,-,29.232,-,-,-
PIJROR,pijror_P1,monoclinic,-,29.125,-,-,-
PIKCUK,pikcuk_P1_charged_H,hexagonal,Yes,13.324,Yes,Yes,Yes
PIKYAM,pikyam_P1,orthorhombic,-,51.428,-,-,-
PILMUV,pilmuv_P1,monoclinic,-,12.694,-,-,-
PILPOS,pilpos_P1,monoclinic,-,14.288,-,-,-
PILWIS,pilwis_P1,monoclinic,-,19.42,-,-,-
PILYUH,pilyuh_P1,orthorhombic,-,44.13,-,-,-
PIMSUC,pimsuc_P1,rhombohedral,Yes,42.408,-,-,-
PIMTAJ,pimtaj_P1,monoclinic,-,10.257,-,-,-
PINPAG,pinpag_P1,triclinic,-,19.038,-,-,-
PIPKOR,pipkor_P1_charged,trigonal,-,80.146,Yes,-,Yes
PIPKUX,pipkux_P1_charged,orthorhombic,-,68.914,Yes,-,-
PIPXAQ,pipxaq_P1,orthorhombic,-,33.824,-,-,-
PIQFIG,piqfig_P1_H,monoclinic,-,33.469,-,Yes,Yes
PIQMOT,piqmot_P1_H,orthorhombic,-,32.264,-,Yes,-
PIQMUZ,piqmuz_P1_charged_H,orthorhombic,-,20.32,Yes,Yes,Yes
PIQPUC,piqpuc_P1,monoclinic,-,29.228,-,-,-
PIQQAJ,piqqaj_P1,monoclinic,-,17.056,-,-,-
PIQQEN,piqqen_P1,monoclinic,-,35.116,-,-,-
PIQQIR,piqqir_P1,monoclinic,-,20.932,-,-,-
PIRQOZ,pirqoz_P1_charged,cubic,-,90.176,Yes,-,Yes
PITMOW,pitmow_P1,monoclinic,-,11.496,-,-,-
PITPEP,pitpep_P1,rhombohedral,-,48.491,-,-,-
PITYUN,pityun_P1,tetragonal,-,39.969,-,-,-
PITYUN01,pityun01_P1,tetragonal,-,41.598,-,-,-
PITYUN02,pityun02_P1,tetragonal,-,40.02,-,-,-
PIWLAL,piwlal_P1,monoclinic,-,65.461,-,-,-
PIWLEP,piwlep_P1,monoclinic,-,64.67,-,-,-
PIWLIT,piwlit_P1,monoclinic,-,55.17,-,-,-
PIXDIM,pixdim_P1,monoclinic,-,52.472,-,-,-
PIXHOV,pixhov_P1,monoclinic,-,28.484,-,-,-
PIXLOA,pixloa_P1,rhombohedral,-,19.464,-,-,-
PIXLUG,pixlug_P1,rhombohedral,-,19.028,-,-,-
PIXPET,pixpet_P1,monoclinic,-,28.103,-,-,-
PIZHOX,pizhox_P1,monoclinic,-,38.768,-,-,-
PIZJAJ,pizjaj_P1_charged,orthorhombic,-,72.527,Yes,-,-
PIZJEN,pizjen_P1_charged,tetragonal,-,76.101,Yes,-,-
PIZNOB,piznob_P1_H,triclinic,-,39.146,-,Yes,Yes
PIZPAP,pizpap_P1_H,monoclinic,-,35.347,-,Yes,Yes
PIZPET,pizpet_P1_H,monoclinic,-,35.14,-,Yes,Yes
PIZPIX,pizpix_P1_H,monoclinic,-,35.132,-,Yes,Yes
PIZPIX01,pizpix01_P1,monoclinic,-,27.289,-,-,-
PIZPIX02,pizpix02_P1_H,monoclinic,-,32.276,-,Yes,Yes
PIZPOD,pizpod_P1_H,monoclinic,-,32.786,-,Yes,Yes
PIZQIA,pizqia_P1,tetragonal,Yes,17.802,-,-,-
PIZQUM,pizqum_P1,orthorhombic,Yes,32.467,-,-,-
PIZRAT,pizrat_P1,orthorhombic,Yes,33.58,-,-,-
PIZREX,pizrex_P1,orthorhombic,Yes,33.186,-,-,-
PIZRIB,pizrib_P1,orthorhombic,Yes,32.103,-,-,-
PIZROH,pizroh_P1,tetragonal,Yes,16.987,-,-,-
PIZRUN,pizrun_P1,orthorhombic,Yes,32.49,-,-,-
PIZSAU,pizsau_P1,orthorhombic,Yes,33.828,-,-,-
PIZYOP,pizyop_P1,triclinic,-,37.614,-,-,-
POBGAQ01,pobgaq01_P1,orthorhombic,-,68.569,-,-,-
POBGOE01,pobgoe01_P1,orthorhombic,-,69.013,-,-,-
POBNEA,pobnea_P1_charged_H,hexagonal,-,53.23,Yes,Yes,Yes
POBNEB01,pobneb01_P1,rhombohedral,-,26.504,-,-,-
POBYAH,pobyah_P1_H,tetragonal,Yes,28.657,-,Yes,-
