CSD refcode,CIF filename
EMAFII,emafii_P1_charged
EMIHAK,emihak_P1_charged
EMIHIS,emihis_P1_charged
EMIVAY,emivay_P1_charged
ENATUJ,enatuj_P1_charged
ENEQOF,eneqof_P1_charged
ENEQUL,enequl_P1_charged
ENESOH,enesoh_P1_charged_H
ENESUN,enesun_P1_charged_H
EPAVAU,epavau_P1_charged
EPUVAN,epuvan_P1_charged
EQUMUA,equmua_P1_charged
EQUNAH,equnah_P1_charged
EQUNIP,equnip_P1_charged
ERUNIQ,eruniq_P1_charged
ESECOW,esecow_P1_charged_H
ETUJOU,etujou_P1_charged
ETUJUA,etujua_P1_charged
ETUWEW,etuwew_P1_charged
ETUWIA,etuwia_P1_charged
EVEGIV,evegiv_P1_charged
EVEGUH,eveguh_P1_charged
EWEWUZ,ewewuz_P1_charged_H
EWIMON,ewimon_P1_charged
EXEMUR,exemur_P1_charged
EXOJAC,exojac_P1_charged
EZAWIL,ezawil_P1_charged_H
FABFOF,fabfof_P1_charged
FABGOG,fabgog_P1_charged
FABGUM,fabgum_P1_charged
FAGMAE,fagmae_P1_charged
FAGMEI,fagmei_P1_charged
FAGMOS,fagmos_P1_charged
FAHFUR,fahfur_P1_charged_H
FAHQIQ,fahqiq_P1_charged
FAJYAT,fajyat_P1_charged
FAJYIB,fajyib_P1_charged
FAJZIC,fajzic_P1_charged
FAKLIO,faklio_P1_charged
FAKLOU,faklou_P1_charged
FALVOF,falvof_P1_charged_H
FALVOF01,falvof01_P1_charged_H
FALVUL02,falvul02_P1_charged_H
FARGIQ,fargiq_P1_charged
FAVFIU,favfiu_P1_charged_H
FAVKAP,favkap_P1_charged_H
FAZRAA,fazraa_P1_charged
FECXOC,fecxoc_P1_charged
FEGNIQ,fegniq_P1_charged
FENVOL,fenvol_P1_charged_H
FERGUG,fergug_P1_charged
FEVTEF,fevtef_P1_charged
FEVVIM,fevvim_P1_charged
FIDLUC,fidluc_P1_charged_H
FIFGAE,fifgae_P1_charged_H
FIFGEI,fifgei_P1_charged
FIJDEI,fijdei_P1_charged
FILBAG,filbag_P1_charged
FILGUE,filgue_P1_charged
FIMYUX,fimyux_P1_charged
FIMZAE,fimzae_P1_charged
FINFUG,finfug_P1_charged
FIPKOG,fipkog_P1_charged
FIPKUM,fipkum_P1_charged
FISQOQ,fisqoq_P1_charged
FISVEL,fisvel_P1_charged
FITHAS,fithas_P1_charged
FITJAU,fitjau_P1_charged_H
FITJEY,fitjey_P1_charged_H
FIVSAH,fivsah_P1_charged
FIVTUC,fivtuc_P1_charged
FIXLAC,fixlac_P1_charged_H
FOJBIR,fojbir_P1_charged
FOJKOG,fojkog_P1_charged_H
FOMWOV,fomwov_P1_charged
FORPIM,forpim_P1_charged
FORQIN,forqin_P1_charged
FOVPEN,fovpen_P1_charged
FUFQUT,fufqut_P1_charged
FUMHEC,fumhec_P1_charged
FURHOS,furhos_P1_charged_H
FUTDII,futdii_P1_charged
FUTTOF,futtof_P1_charged
FUTZOL,futzol_P1_charged
FUWXIF,fuwxif_P1_charged
FUYCEJ,fuycej_P1_charged
FUYCIN,fuycin_P1_charged_H
FUYKER,fuyker_P1_charged
FUZKAN,fuzkan_P1_charged
GAHROZ,gahroz_P1_charged
GAJVEU,gajveu_P1_charged_H
GAMFEI,gamfei_P1_charged
GAQKOB,gaqkob_P1_charged
GATBUZ,gatbuz_P1_charged
GATJIV,gatjiv_P1_charged
GAVYAG,gavyag_P1_charged
GECRAI,gecrai_P1_charged_H
GEFTET,geftet_P1_charged
GEGBEB,gegbeb_P1_charged
GEGBOL,gegbol_P1_charged
GENGIR,gengir_P1_charged
GERWIL,gerwil_P1_charged
GERWOR,gerwor_P1_charged
GEVXIQ,gevxiq_P1_charged
GIFJUD,gifjud_P1_charged
GIKYIL,gikyil_P1_charged
GINDAL,gindal_P1_charged
GINHOD,ginhod_P1_charged
GIQHAQ,giqhaq_P1_charged
GISZUF,giszuf_P1_charged
GIVHIC,givhic_P1_charged
GIVNIK,givnik_P1_charged
GIVNOQ,givnoq_P1_charged
GIWCAR,giwcar_P1_charged
GIXTUF,gixtuf_P1_charged
GOBFUZ,gobfuz_P1_charged
GODDIP,goddip_P1_charged
GODMUK,godmuk_P1_charged_H
GODNAR,godnar_P1_charged
GODNIZ,godniz_P1_charged
GOSCAV,goscav_P1_charged
GOVKOU,govkou_P1_charged_H
GOXHEJ,goxhej_P1_charged
GUBPIE,gubpie_P1_charged
GUBPOK,gubpok_P1_charged
GUBPUQ,gubpuq_P1_charged
GUBQAX,gubqax_P1_charged
GUCDOA,gucdoa_P1_charged
GUFHUN,gufhun_P1_charged
GUFYUE,gufyue_P1_charged_H
GUJREK,gujrek_P1_charged
GUJREK01,gujrek01_P1_charged
GUKBUL,gukbul_P1_charged
GUKYUI,gukyui_P1_charged
GUMBIA,gumbia_P1_charged
GUTCEF,gutcef_P1_charged
GUTCIJ,gutcij_P1_charged
GUVYAA,guvyaa_P1_charged
GUXRAT,guxrat_P1_charged
GUXZIJ,guxzij_P1_charged
GUZVUU,guzvuu_P1_charged
HAFWUI01,hafwui01_P1_charged
HAGTAN,hagtan_P1_charged
HAJDII,hajdii_P1_charged
HAKVIB,hakvib_P1_charged
HAKVUN,hakvun_P1_charged
HAMLIT,hamlit_P1_charged
HANKUE,hankue_P1_charged
HAPZUW,hapzuw_P1_charged
HAQKES,haqkes_P1_charged
HAQRID,haqrid_P1_charged
HAQROJ,haqroj_P1_charged
HAYLIE,haylie_P1_charged
HEFDON,hefdon_P1_charged
HEFDUT,hefdut_P1_charged
HEFFEF,heffef_P1_charged
HEGPER,hegper_P1_charged
HEHKUD,hehkud_P1_charged
HEHLAK,hehlak_P1_charged
HEHZAY,hehzay_P1_charged
HEJTOI,hejtoi_P1_charged
HEMTEZ,hemtez_P1_charged_H
HENSEB,henseb_P1_charged
HENSEB01,henseb01_P1_charged
HEPHIW,hephiw_P1_charged
HETCOB,hetcob_P1_charged_H
HIFVEZ,hifvez_P1_charged
HIFZAY,hifzay_P1_charged_H
HIHFUB,hihfub_P1_charged
HIMSAY,himsay_P1_charged
HINFER,hinfer_P1_charged_H
HIQJOI,hiqjoi_P1_charged
HIQKAV,hiqkav_P1_charged
HOCXEF,hocxef_P1_charged
HOGJUK,hogjuk_P1_charged
HOKGUJ,hokguj_P1_charged
HOQMIL04,hoqmil04_P1_charged
HORBAU,horbau_P1_charged
HOWPOA,howpoa_P1_charged
HOWQER,howqer_P1_charged
HOWQER01,howqer01_P1_charged
HOWQER02,howqer02_P1_charged
HOZFIN,hozfin_P1_charged_H
HOZHOW,hozhow_P1_charged
HUFHEX,hufhex_P1_charged
HUFHIB,hufhib_P1_charged
HUFHOH,hufhoh_P1_charged
HUFJAV,hufjav_P1_charged
HUFJEZ,hufjez_P1_charged
HUHBET,huhbet_P1_charged
HUJVOX,hujvox_P1_charged
HUKQUZ,hukquz_P1_charged
HULTEP,hultep_P1_charged
HUMWET,humwet_P1_charged
HURGOR,hurgor_P1_charged
HURKOX,hurkox_P1_charged
HUSFAF,husfaf_P1_charged
HUSFEJ,husfej_P1_charged
HUSFIN,husfin_P1_charged
HUSFOT,husfot_P1_charged
HUSGAG,husgag_P1_charged
HUSGEK,husgek_P1_charged
HUVHOX,huvhox_P1_charged_H
HUVLUF,huvluf_P1_charged
HUVLUF01,huvluf01_P1_charged
HUWLUJ,huwluj_P1_charged
HUWMAP,huwmap_P1_charged
HUWMAQ,huwmaq_P1_charged
HUWMEU,huwmeu_P1_charged
HUWRAV,huwrav_P1_charged_H
HUWRID,huwrid_P1_charged
HUWROJ,huwroj_P1_charged
HUWRUP,huwrup_P1_charged
HUWSIE,huwsie_P1_charged_H
HUWSOK,huwsok_P1_charged
HUWSUN,huwsun_P1_charged
HUZFEO,huzfeo_P1_charged
HUZFIS,huzfis_P1_charged
HUZFOY,huzfoy_P1_charged
IBITUK,ibituk_P1_charged_H
IBIYOI,ibiyoi_P1_charged
IBOTIC,ibotic_P1_charged
IBOWIH,ibowih_P1_charged_H
IBUBEP,ibubep_P1_charged
ICITEU,iciteu_P1_charged_H
ICORAV,icorav_P1_charged
IDIMIU,idimiu_P1_charged
IDIMOA,idimoa_P1_charged
IDOLIZ,idoliz_P1_charged
IDUDOA,idudoa_P1_charged
IDUYOX,iduyox_P1_charged
IFAGEE,ifagee_P1_charged_H
IFAGII,ifagii_P1_charged_H
IFIPEV,ifipev_P1_charged
